player_name,draft_group,scout_score,draft_number
Aleksandar Radojevic,Top 15 Picks,0.29832137201641645,12
Benoit Benjamin,Top 15 Picks,0.2532827271729945,3
Ennis Whatley,Top 15 Picks,0.19985907552822904,13
Gary Grant,Top 15 Picks,0.3836773169106667,15
Herb Williams,Top 15 Picks,0.318866344253816,14
Jeff Grayer,Top 15 Picks,0.3576569322664865,13
Jerry Smith,Top 15 Picks,0.2176237950841557,12
LaSalle Thompson,Top 15 Picks,0.3900757820467896,5
Mark Macon,Top 15 Picks,0.17880880583538505,8
Mouhamed Sene,Top 15 Picks,0.34727680911381603,10
Patrick O'Bryant,Top 15 Picks,0.40540514528127747,9
Reece Gaines,Top 15 Picks,0.38229889670162936,15
Stacey King,Top 15 Picks,0.32825813654459374,6
Tom Chambers,Top 15 Picks,0.32746171669025703,8
Willie Burton,Top 15 Picks,0.3216400871644486,9
Yaroslav Korolev,Top 15 Picks,0.2675873807359286,12
